EHS_Base_ID,Latitude,Longitude,Type
Additional_1,45.09868739790781,-63.70148671693974,Additional_EMS
Additional_2,43.955529051414025,-66.00101740842786,Additional_EMS
Additional_3,46.490068227758144,-60.9354861348657,Additional_EMS
Additional_4,45.19109465178321,-62.16954145055515,Additional_EMS
Additional_5,44.67665425994291,-64.35269344035068,Additional_EMS
Additional_6,45.549000090167056,-63.26512021212877,Additional_EMS
Additional_7,44.18113374085015,-64.96685132351618,Additional_EMS
Additional_8,45.819477291955316,-61.27412686565686,Additional_EMS
Additional_9,45.50067599659516,-64.57032754899332,Additional_EMS
Additional_10,45.84868177376198,-64.00320340197788,Additional_EMS
Additional_11,44.861839079786314,-65.2304293166785,Additional_EMS
Additional_12,45.44128299680788,-62.71531191453252,Additional_EMS
Additional_13,43.64389006997893,-65.58084197925176,Additional_EMS
Additional_14,45.70089652603455,-60.58966770322106,Additional_EMS
Additional_15,44.40204860767803,-65.72237758721782,Additional_EMS
Additional_16,45.573956119940426,-61.75142489356803,Additional_EMS
Additional_17,45.25626235434808,-63.131274069686604,Additional_EMS
Additional_18,45.469672548924045,-63.78019321556339,Additional_EMS
Additional_19,45.51762292288424,-62.383834500706485,Additional_EMS
Additional_20,45.66095611235854,-62.92825929702166,Additional_EMS
Additional_21,43.92662092653887,-65.71760926031237,Additional_EMS
Additional_22,44.21447935218582,-66.0006033041922,Additional_EMS
Additional_23,45.70426380789604,-63.6214126447471,Additional_EMS
Additional_24,46.63887063350517,-60.54756008829008,Additional_EMS
Additional_25,46.05644529118825,-61.31325537552723,Additional_EMS
Additional_26,45.959925604049275,-60.61885057720465,Additional_EMS
Additional_27,44.618161056599654,-65.16437158071518,Additional_EMS
Additional_28,45.08941131774453,-63.48914283983631,Additional_EMS
Additional_29,43.70192418872189,-65.1182362763485,Additional_EMS
Additional_30,45.731570522800695,-63.86566832518517,Additional_EMS
Additional_31,45.13335010549164,-63.34790005454361,Additional_EMS
Additional_32,45.96233664746333,-61.135404471990064,Additional_EMS
Additional_33,43.447297434868034,-65.63654775291435,Additional_EMS
Additional_34,45.69565389866044,-60.76696451981847,Additional_EMS
Additional_35,45.02293232149758,-62.760667153092214,Additional_EMS
Additional_36,44.333866344783914,-64.9019973268954,Additional_EMS
