GEO_NAME,latitude,longitude,C1_COUNT_TOTAL,cluster,distance_to_ems
"East Hants, Municipal district (MD)",45.09868739790781,-63.70148671693974,22892,16,0.0
"Indian Brook 14, Indian reserve (IRI)",45.08941131774453,-63.48914283983631,2739,59,0.0
"Cole Harbour 30, Indian reserve (IRI)",44.64990593006995,-63.4832508613672,208,62,1.7806528159554895
"Halifax, Regional municipality (RGM)",44.86665974975977,-63.15001722702976,439819,1,0.0
"Beaver Lake 17, Indian reserve (IRI)",45.02293232149758,-62.760667153092214,20,72,6.858189826405777
"Sheet Harbour 36, Indian reserve (IRI)",44.91414205079564,-62.54898290760486,10,72,13.724896179941235
"Wallace Hills 14A, Indian reserve (IRI)",44.732041390010814,-63.79736489463545,15,62,24.67629237009417
"Colchester, Subd. C, Subdivision of county municipality (SC)",45.25626235434808,-63.131274069686604,12476,40,0.0
"Stewiacke, Town (T)",45.13335010549164,-63.34790005454361,1557,53,0.0
"Millbrook 27, Indian reserve (IRI)",45.331605396113254,-63.300515311795124,921,3,3.4731548716677274
"Truro, Town (T)",45.341369357521515,-63.25499395308357,12954,3,0.24691395619280718
"Colchester, Subd. B, Subdivision of county municipality (SC)",45.549000090167056,-63.26512021212877,19806,18,0.0
"Colchester, Subd. A, Subdivision of county municipality (SC)",45.469672548924045,-63.78019321556339,3762,34,0.0
"Cumberland, Subd. A, Subdivision of county municipality (SC)",45.50067599659516,-64.57032754899332,3201,22,0.0
"Cumberland, Subd. B, Subdivision of county municipality (SC)",45.60256283888984,-64.14216528778894,6786,25,0.0
"Cumberland, Subd. C, Subdivision of county municipality (SC)",45.84868177376198,-64.00320340197788,5694,54,0.0
"Amherst, Town (T)",45.82343137796858,-64.20535965265745,9404,8,0.0
"Oxford, Town (T)",45.731570522800695,-63.86566832518517,1170,61,0.0
"Cumberland, Subd. D, Subdivision of county municipality (SC)",45.70426380789604,-63.6214126447471,4283,31,0.0
"Pictou, Subd. A, Subdivision of county municipality (SC)",45.66095611235854,-62.92825929702166,6153,47,0.0
"Pictou, Town (T)",45.68345893210179,-62.71457797828175,3107,36,0.663986634964387
"Pictou, Subd. B, Subdivision of county municipality (SC)",45.44128299680788,-62.71531191453252,6137,43,0.0
"Westville, Town (T)",45.55460439359451,-62.710678894276946,3540,76,0.0
"Stellarton, Town (T)",45.56197666719505,-62.670847080217136,4007,12,0.0
"Pictou, Subd. C, Subdivision of county municipality (SC)",45.51762292288424,-62.383834500706485,8386,37,0.0
"New Glasgow, Town (T)",45.587219102703564,-62.644947432397785,9471,67,0.0
"Trenton, Town (T)",45.61552297216244,-62.6292095100596,2407,64,0.0
"Fisher's Grant 24, Indian reserve (IRI)",45.6720697524633,-62.64887755545358,449,36,4.595109628425253
"St. Mary's, Municipal district (MD)",45.19109465178321,-62.16954145055515,2161,21,0.0
"Guysborough, Municipal district (MD)",45.35379312473309,-61.53734017748428,4585,23,0.0
"Mulgrave, Town (T)",45.6055723400741,-61.4098257667071,627,78,0.0
"Antigonish, Subd. A, Subdivision of county municipality (SC)",45.63018510928733,-62.039337020872715,8963,6,0.0
"Antigonish, Town (T)",45.623283160569265,-61.99319738076094,4656,69,0.0
"Antigonish, Subd. B, Subdivision of county municipality (SC)",45.57255667258401,-61.751856559077076,6138,41,0.15919744140136413
"Paqtnkek-Niktuek No. 23, Indian reserve (IRI)",45.59704700132129,-61.74430241266874,372,41,2.6267322682228738
"Inverness, Subd. C, Subdivision of county municipality (SC)",45.819477291955316,-61.27412686565686,3167,13,0.0
"Port Hawkesbury, Town (T)",45.623176694226764,-61.353337274631265,3210,48,0.0
"Malagawatch 4, Indian reserve (IRI)",45.89023335453487,-60.97942217029873,20,65,14.485604362498735
"Inverness, Subd. B, Subdivision of county municipality (SC)",46.05644529118825,-61.31325537552723,4865,29,0.0
"Whycocomagh 2, Indian reserve (IRI)",45.9639809642918,-61.13896165104802,877,65,0.3301922048619806
"Inverness, Subd. A, Subdivision of county municipality (SC)",46.490068227758144,-60.9354861348657,5207,17,0.0
"Richmond, Subd. C, Subdivision of county municipality (SC)",45.540990520459104,-61.02415501268266,3136,24,0.0
"Richmond, Subd. A, Subdivision of county municipality (SC)",45.661319271924974,-61.066242043119814,3763,35,0.0
"Richmond, Subd. B, Subdivision of county municipality (SC)",45.70089652603455,-60.58966770322106,1610,46,0.0
"Chapel Island 5, Indian reserve (IRI)",45.69565389866044,-60.76696451981847,405,70,0.0
"Membertou 28B, Indian reserve (IRI)",46.113650032288106,-60.188326040112536,1103,63,0.0
"Eskasoni 3, Indian reserve (IRI)",45.959925604049275,-60.61885057720465,3521,45,0.0
"Cape Breton, Regional municipality (RGM)",46.010240281086716,-60.25791017952736,93694,10,0.0
"Victoria, Subd. B, Subdivision of county municipality (SC)",46.17944172855879,-60.77455010545181,4077,0,0.0
"Wagmatcook 1, Indian reserve (IRI)",46.07867622921957,-60.91820926227096,691,66,0.0
"Victoria, Subd. A, Subdivision of county municipality (SC)",46.63887063350517,-60.54756008829008,2673,39,0.0
