GEO_NAME,latitude,longitude,C1_COUNT_TOTAL,cluster,distance_to_ems
"Kings, Subd. B, Subdivision of county municipality (SC)",45.182053248465344,-64.46647595967315,11951,4,18.8361515283732
"Kings, Subd. D, Subdivision of county municipality (SC)",45.034098648737206,-64.33878687107877,5264,4,3.475812953684613
"Wolfville, Town (T)",45.08945122433105,-64.36080837373413,5057,4,5.674631329717851
"Glooscap 35, Indian reserve (IRI)",45.04202185898313,-64.23771531677667,111,4,5.626721359140219
"West Hants, Rural municipality (RM)",44.96970195786952,-64.11512670626222,19509,4,17.83455076123788
"East Hants, Municipal district (MD)",45.09868739790781,-63.70148671693974,22892,15,3.2705318599890565
"Indian Brook 14, Indian reserve (IRI)",45.08941131774453,-63.48914283983631,2739,15,13.44871096498239
"Cole Harbour 30, Indian reserve (IRI)",44.64990593006995,-63.4832508613672,208,1,35.66732483119366
"Halifax, Regional municipality (RGM)",44.86665974975977,-63.15001722702976,439819,1,0.014447440986738828
"Beaver Lake 17, Indian reserve (IRI)",45.02293232149758,-62.760667153092214,20,1,35.24061778455337
"Sheet Harbour 36, Indian reserve (IRI)",44.91414205079564,-62.54898290760486,10,1,47.65208097145266
"Wallace Hills 14A, Indian reserve (IRI)",44.732041390010814,-63.79736489463545,15,18,44.25682289897719
"Colchester, Subd. C, Subdivision of county municipality (SC)",45.25626235434808,-63.131274069686604,12476,10,4.115637839173168
"Stewiacke, Town (T)",45.13335010549164,-63.34790005454361,1557,15,24.760971192934573
"Millbrook 27, Indian reserve (IRI)",45.331605396113254,-63.300515311795124,921,10,14.768466899198561
"Truro, Town (T)",45.341369357521515,-63.25499395308357,12954,10,11.87167914336658
"Colchester, Subd. B, Subdivision of county municipality (SC)",45.549000090167056,-63.26512021212877,19806,3,9.793145447100787
"Colchester, Subd. A, Subdivision of county municipality (SC)",45.469672548924045,-63.78019321556339,3762,3,32.13239190341175
"Cumberland, Subd. A, Subdivision of county municipality (SC)",45.50067599659516,-64.57032754899332,3201,9,39.85835791267779
"Cumberland, Subd. B, Subdivision of county municipality (SC)",45.60256283888984,-64.14216528778894,6786,9,14.214330811115135
"Cumberland, Subd. C, Subdivision of county municipality (SC)",45.84868177376198,-64.00320340197788,5694,9,18.853324500385092
"Amherst, Town (T)",45.82343137796858,-64.20535965265745,9404,9,10.83641634279366
"Oxford, Town (T)",45.731570522800695,-63.86566832518517,1170,9,23.97703268075209
"Cumberland, Subd. D, Subdivision of county municipality (SC)",45.70426380789604,-63.6214126447471,4283,3,23.97625356043473
"Pictou, Subd. A, Subdivision of county municipality (SC)",45.66095611235854,-62.92825929702166,6153,11,23.53032725131687
"Pictou, Town (T)",45.68345893210179,-62.71457797828175,3107,11,13.60586548834953
"Pictou, Subd. B, Subdivision of county municipality (SC)",45.44128299680788,-62.71531191453252,6137,11,14.823446900642258
"Westville, Town (T)",45.55460439359451,-62.710678894276946,3540,11,4.47894529111161
"Stellarton, Town (T)",45.56197666719505,-62.670847080217136,4007,11,1.3086518798852238
"Pictou, Subd. C, Subdivision of county municipality (SC)",45.51762292288424,-62.383834500706485,8386,11,21.95854915015947
"New Glasgow, Town (T)",45.587219102703564,-62.644947432397785,9471,11,2.311875769685066
"Trenton, Town (T)",45.61552297216244,-62.6292095100596,2407,11,5.68840206206569
"Fisher's Grant 24, Indian reserve (IRI)",45.6720697524633,-62.64887755545358,449,11,11.581527498315108
"St. Mary's, Municipal district (MD)",45.19109465178321,-62.16954145055515,2161,10,75.26767495113546
"Guysborough, Municipal district (MD)",45.35379312473309,-61.53734017748428,4585,14,34.58515403406013
"Mulgrave, Town (T)",45.6055723400741,-61.4098257667071,627,14,17.50116208849999
"Antigonish, Subd. A, Subdivision of county municipality (SC)",45.63018510928733,-62.039337020872715,8963,8,8.365973026542356
"Antigonish, Town (T)",45.623283160569265,-61.99319738076094,4656,8,4.706762170210481
"Antigonish, Subd. B, Subdivision of county municipality (SC)",45.57255667258401,-61.751856559077076,6138,8,14.899971623381125
"Paqtnkek-Niktuek No. 23, Indian reserve (IRI)",45.59704700132129,-61.74430241266874,372,8,14.951805612772038
"Inverness, Subd. C, Subdivision of county municipality (SC)",45.819477291955316,-61.27412686565686,3167,16,26.86240645646594
"Port Hawkesbury, Town (T)",45.623176694226764,-61.353337274631265,3210,14,14.379344501661269
"Malagawatch 4, Indian reserve (IRI)",45.89023335453487,-60.97942217029873,20,16,18.927872652449125
"Inverness, Subd. B, Subdivision of county municipality (SC)",46.05644529118825,-61.31325537552723,4865,16,15.724550327405437
"Whycocomagh 2, Indian reserve (IRI)",45.9639809642918,-61.13896165104802,877,16,7.970404806330359
"Inverness, Subd. A, Subdivision of county municipality (SC)",46.490068227758144,-60.9354861348657,5207,12,11.527848081959899
"Richmond, Subd. C, Subdivision of county municipality (SC)",45.540990520459104,-61.02415501268266,3136,14,13.576115706113184
"Richmond, Subd. A, Subdivision of county municipality (SC)",45.661319271924974,-61.066242043119814,3763,14,15.74066087334961
"Richmond, Subd. B, Subdivision of county municipality (SC)",45.70089652603455,-60.58966770322106,1610,14,50.026677220947875
"Chapel Island 5, Indian reserve (IRI)",45.69565389866044,-60.76696451981847,405,14,37.0228426759403
"Membertou 28B, Indian reserve (IRI)",46.113650032288106,-60.188326040112536,1103,2,13.17687579798749
"Eskasoni 3, Indian reserve (IRI)",45.959925604049275,-60.61885057720465,3521,2,27.5093800125306
"Cape Breton, Regional municipality (RGM)",46.010240281086716,-60.25791017952736,93694,2,0.9406899261893122
"Victoria, Subd. B, Subdivision of county municipality (SC)",46.17944172855879,-60.77455010545181,4077,16,30.696495910224098
"Wagmatcook 1, Indian reserve (IRI)",46.07867622921957,-60.91820926227096,691,16,15.80538404929746
"Victoria, Subd. A, Subdivision of county municipality (SC)",46.63887063350517,-60.54756008829008,2673,12,22.43275087603979
